0~1
https://www.correiobraziliense.com.br/mundo/2026/02/7355240-meus-filhos-foram-recrutados-para-um-esquema-de-trafico-humano-e-me-juntei-a-policia-para-tentar-encontra-los.html~'Meus filhos foram recrutados para um esquema de tráfico humano e me juntei à polícia para tentar encontrá-los'
https://www.correiobraziliense.com.br/mundo/2025/11/7302863-a-colombiana-que-sobreviveu-ao-trafico-de-pessoas-no-mexico-uma-amiga-me-enganou-e-me-levou-para-uma-rede-de-exploracao-sexual.html~A colombiana que sobreviveu ao tráfico de pessoas no México: 'Uma amiga me enganou e me levou para uma rede de exploração sexual'
https://www.correiobraziliense.com.br/mundo/2025/09/7244316-democratas-divulgam-suposta-carta-de-aniversario-de-trump-para-epstein.html~Democratas divulgam suposta carta de aniversário de Trump para Epstein
https://www.correiobraziliense.com.br/brasil/2025/08/7227154-hytalo-santos-relembre-as-polemicas-do-influenciador-preso.html~Hytalo Santos: Relembre as polêmicas do influenciador preso
https://www.correiobraziliense.com.br/brasil/2025/05/7157541-mpt-processa-byd-por-trabalho-escravo-em-obras-na-bahia.html~MPT processa BYD por trabalho escravo em obras na Bahia
https://www.correiobraziliense.com.br/mundo/2025/04/7124938-morre-virginia-giuffre-vitima-de-jeffrey-epstein-e-do-principe-andrew.html~Morre Virginia Giuffre, vítima de Jeffrey Epstein e do príncipe Andrew
https://www.correiobraziliense.com.br/mundo/2021/10/4953409-policia-desmantela-quadrilha-que-levava-haitianos-ilegalmente-do-chile-para-os-eua.html~Polícia desmantela quadrilha que levava haitianos ilegalmente do Chile para os EUA
https://www.correiobraziliense.com.br/cidades-df/2021/07/4939796-predios-publicos-do-df-ganham-iluminacao-azul-contra-o-trafico-de-pessoas.html~Prédios públicos do DF ganham iluminação azul contra o tráfico de pessoas
https://www.correiobraziliense.com.br/cidades-df/2021/07/4939422-sejus-promove-semana-nacional-de-enfrentamento-ao-trafico-de-pessoas.html~Sejus promove Semana Nacional de Enfrentamento ao Tráfico de Pessoas
https://www.correiobraziliense.com.br/brasil/2021/06/4934241-lideres-religiosos-sao-acusados-de-estupro-trafico-de-pessoas-e-corrupcao-de-menores.html~Líderes religiosos são acusados de estupro, tráfico de pessoas e corrupção de menores
https://www.correiobraziliense.com.br/cidades-df/2021/02/4906210-secretaria-de-justica-abordara-motoristas-para-alertar-sobre-trafico-de-pessoas.html~Secretaria de Justiça abordará motoristas para alertar sobre tráfico de pessoas
https://www.correiobraziliense.com.br/brasil/2021/01/4903126-mpt-recebe-mais-de-6-mil-denuncias-de-escravidao-e-trafico-de-pessoas.html~MPT recebe mais de 6 mil denúncias de escravidão e tráfico de pessoas
https://www.correiobraziliense.com.br/app/noticia/cidades/2020/07/31/interna_cidadesdf,877235/sejus-lanca-canal-para-receber-denuncias-de-trafico-de-pessoas.shtml~Sejus lança canal para receber denúncias de tráfico de pessoas
https://www.correiobraziliense.com.br/app/noticia/brasil/2020/07/28/interna-brasil,876015/desde-2000-quase-2-mil-brasileiros-foram-vitimas-de-trafico-de-pessoa.shtml~Desde 2000, quase 2 mil brasileiros foram vítimas de tráfico de pessoas
https://www.correiobraziliense.com.br/app/noticia/brasil/2020/07/28/interna-brasil,876037/reforco-no-combate-ao-trafico-de-pessoas.shtml~Reforço no combate ao tráfico de pessoas
https://www.correiobraziliense.com.br/app/noticia/mundo/2020/02/27/interna_mundo,830820/adolescentes-e-24-bebes-sao-libertados-de-fabrica-de-bebes-na-nigeria.shtml~Adolescentes e 24 bebês são libertados de 'fábrica de bebês na Nigéria
https://www.correiobraziliense.com.br/app/noticia/brasil/2020/01/28/interna-brasil,824024/passaportes-em-7-estados-e-no-df-terao-alerta-contra-trafico-de-pessoa.shtml~Passaportes em 7 Estados e no DF terão alerta contra tráfico de pessoas
https://www.correiobraziliense.com.br/app/noticia/mundo/2020/01/10/interna_mundo,819674/pastores-brasileiros-sao-presos-em-portugal-acusados-de-trafico-de-pes.shtml~Pastores brasileiros são presos em Portugal acusados de tráfico de pessoas
https://www.correiobraziliense.com.br/app/noticia/brasil/2020/01/10/interna-brasil,819679/tres-pastores-brasileiros-sao-presos-em-portugal-acusados-de-trafico-d.shtml~Três pastores brasileiros são presos em Portugal acusados de tráfico de pessoas
https://www.correiobraziliense.com.br/app/noticia/mundo/2019/11/25/interna_mundo,809026/caminhoneiro-britanico-aceita-acusacao-pela-morte-de-39-imigrantes.shtml~Caminhoneiro britânico aceita acusação pela morte de 39 imigrantes
https://www.correiobraziliense.com.br/app/noticia/mundo/2019/11/01/interna_mundo,803081/eua-acusa-homem-de-traficar-emigrantes-atraves-do-brasil.shtml~EUA acusa homem de traficar emigrantes através do Brasil
https://www.correiobraziliense.com.br/app/noticia/cidades/2019/07/30/interna_cidadesdf,774586/terminal-rodoviario-interestadual-recebe-acao-sobre-trafico-de-humanos.shtml~Terminal rodoviário interestadual recebe ação sobre tráfico humano
https://www.correiobraziliense.com.br/app/noticia/cidades/2019/07/29/interna_cidadesdf,774435/terminal-interestadual-de-brasilia-recebe-acao-contra-trafico-pesssoas.shtml~Terminal Interestadual de Brasília recebe ação contra o tráfico de pessoas 
https://www.correiobraziliense.com.br/app/noticia/brasil/2019/07/16/interna-brasil,771442/operacao-resgata-mais-de-60-pessoas-que-trabalhavam-sem-comida-e-agua.shtml~Operação resgata mais de 60 pessoas que trabalhavam sem comida e água em MG
https://www.correiobraziliense.com.br/app/noticia/mundo/2019/06/20/interna_mundo,764508/eua-incluem-arabia-saudita-e-cuba-em-lista-negra-do-trafico-de-pessoas.shtml~EUA incluem Arábia Saudita e Cuba em lista negra do tráfico de pessoas
https://www.correiobraziliense.com.br/app/noticia/brasil/2018/08/09/interna-brasil,699771/pf-deflagra-operacao-contra-trafico-de-pessoas-e-trabalho-escravo-em-g.shtml~PF deflagra operação contra tráfico de pessoas e trabalho escravo em Goiás
https://www.correiobraziliense.com.br/app/noticia/cidades/2018/07/27/interna_cidadesdf,697836/palestras-e-atividades-buscam-enfrentamento-ao-trafico-de-pessoas.shtml~Palestras e atividades buscam enfrentamento ao tráfico de pessoas no DF
https://www.correiobraziliense.com.br/app/noticia/cidades/2018/03/20/interna_cidadesdf,667285/pf-faz-operacao-no-df-mirando-trafico-de-pessoas-para-eua-mexico-e-br.shtml~PF faz operação no DF mirando tráfico de pessoas para EUA, México e Brasil
https://www.correiobraziliense.com.br/app/noticia/brasil/2018/02/06/interna-brasil,658083/seita-religiosa-e-investigada-pela-policia-federal-por-crimes-em-3-est.shtml~Seita religiosa é investigada pela Polícia Federal por crimes em 3 estados
https://www.correiobraziliense.com.br/app/noticia/mundo/2018/01/19/interna_mundo,654425/papa-lamenta-ameacas-a-amazonia-e-diz-que-trafico-de-pessoas-e-escrav.shtml~Papa lamenta ameaças à Amazônia e diz que tráfico de pessoas é 'escravidão'
https://www.correiobraziliense.com.br/app/noticia/brasil/2017/12/05/interna-brasil,645621/brasil-e-bolivia-fecham-parceria-para-combate-ao-crime-organizado.shtml~Brasil e Bolívia fecham parceria para combate ao crime organizado
https://www.correiobraziliense.com.br/app/noticia/cidades/2017/09/30/interna_cidadesdf,630218/prisao-de-travestis-em-celas-masculinas-levanta-discussao-sobre-genero.shtml~Prisão de travestis em celas masculinas levanta discussão sobre gênero 
https://www.correiobraziliense.com.br/app/noticia/cidades/2017/09/27/interna_cidadesdf,629306/lideres-que-exploravam-50-travestis-responderao-por-trafico-de-pessoas.shtml~Líderes que exploravam 50 travestis responderão por tráfico de pessoas
https://www.correiobraziliense.com.br/app/noticia/cidades/2017/07/29/interna_cidadesdf,613533/predios-publicos-com-iluminacao-azul-em-campanha-contra-trafico-de-pes.shtml~Prédios públicos do DF ganham iluminação azul contra o tráfico de pessoas
https://www.correiobraziliense.com.br/app/noticia/mundo/2017/06/27/interna_mundo,605234/governo-dos-eua-inclui-china-em-sua-lista-negra-do-trafico-de-pessoas.shtml~Governo dos EUA inclui China em sua lista negra do tráfico de pessoas 
https://www.correiobraziliense.com.br/~EUA devem criticar a China em relatório sobre tráfico de pessoas
https://www.correiobraziliense.com.br/app/noticia/mundo/2017/01/26/interna_mundo,568540/argentina-rebate-acusacao-de-xenofobia-por-maior-controle-migratorio.shtml~Argentina rebate acusação de xenofobia por maior controle migratório
https://www.correiobraziliense.com.br/app/noticia/mundo/2017/01/13/interna_mundo,565040/colombia-e-origem-transito-e-destino-de-trafico-de-pessoas-aponta-on.shtml~Colômbia é origem, trânsito e destino de tráfico de pessoas, aponta ONU
https://www.correiobraziliense.com.br/app/noticia/brasil/2016/01/25/interna-brasil,515176/auditores-confirmam-trabalho-degradante-e-fecham-pastelaria-no-rio.shtml~Auditores fecham pastelaria no Rio por denúncia de trabalho escravo
https://www.correiobraziliense.com.br/app/noticia/mundo/2015/09/30/interna_mundo,500778/cuba-e-eua-cooperam-contra-trafico-de-pessoas-e-exploracao-de-menores.shtml~Cuba e EUA cooperam contra tráfico de pessoas e exploração de menores
https://www.correiobraziliense.com.br/app/noticia/politica/2015/09/11/interna_politica,498306/franca-suspende-consul-honoraria-na-turquia-por-vender-botes-a-migrantes.shtml~França suspende cônsul honorária na Turquia por vender botes a migrantes
https://www.correiobraziliense.com.br/app/noticia/mundo/2015/08/23/interna_mundo,495718/malasia-encontra-24-corpos-de-supostas-vitimas-de-trafico-de-pessoas.shtml~Malásia encontra 24 corpos de supostas vítimas de tráfico de pessoas
https://www.correiobraziliense.com.br/app/noticia/mundo/2015/08/11/interna_mundo,494193/anistia-internacional-apoia-descriminalizacao-da-prostituicao.shtml~Anistia Internacional apoia descriminalização da prostituição
https://www.correiobraziliense.com.br/app/noticia/mundo/2015/07/29/interna_mundo,492510/cuba-rejeita-continuar-na-lista-de-trafico-de-pessoas-dos-eua.shtml~Cuba rejeita continuar na lista de tráfico de pessoas dos EUA
https://www.correiobraziliense.com.br/app/noticia/mundo/2015/07/27/interna_mundo,492153/eua-retiram-cuba-e-malasia-da-lista-negra-sobre-trafico-de-pessoas.shtml~EUA retiram Cuba e Malásia da lista negra sobre tráfico de pessoas
https://www.correiobraziliense.com.br/app/noticia/brasil/2015/07/26/interna-brasil,492019/semana-de-enfrentamento-ao-trafico-de-pessoas-comeca-nesta-segunda-feira.shtml~Semana de Enfrentamento ao Tráfico de Pessoas começa nesta segunda-feira
https://www.correiobraziliense.com.br/app/noticia/mundo/2015/06/26/interna_mundo,488068/mercosul-tem-documento-contra-trafico-de-pessoas-e-trabalho-escravo.shtml~Mercosul tem documento contra tráfico de pessoas e trabalho escravo
https://www.correiobraziliense.com.br/app/noticia/mundo/2015/06/01/interna_mundo,485256/russia-quer-clareza-na-resolucao-sobre-combate-ao-trafico-de-pessoas.shtml~Rússia quer clareza na resolução sobre combate ao tráfico de pessoas
https://www.correiobraziliense.com.br/app/noticia/mundo/2015/05/18/interna_mundo,483608/uniao-europeia-espera-aval-da-onu-para-combater-trafico-de-pessoas.shtml~União Europeia espera aval da ONU para combater tráfico de pessoas 
https://www.correiobraziliense.com.br/app/noticia/mundo/2015/04/22/interna_mundo,480209/italia-pede-combate-aos-comerciantes-de-escravos-do-mediterraneo.shtml~"Itália pede combate aos ""comerciantes de escravos"" do Mediterrâneo"
https://www.correiobraziliense.com.br/app/noticia/mundo/2015/04/17/interna_mundo,479837/equador-desmonta-duas-redes-de-trafico-de-pessoas-para-brasil-e-eua.shtml~Equador desmonta duas redes de tráfico de pessoas para Brasil e EUA
https://www.correiobraziliense.com.br/app/noticia/brasil/2015/02/10/interna-brasil,470423/crimes-de-racismo-xenofobia-e-trafico-de-pessoas-cresceram-na-internet.shtml~Crimes de racismo, xenofobia e tráfico de pessoas cresceram na internet
https://www.correiobraziliense.com.br/app/noticia/brasil/2014/12/04/interna-brasil,460494/ivete-sangalo-participa-de-evento-sobre-trafico-de-pessoas-na-onu.shtml~Ivete Sangalo participa de evento sobre tráfico de pessoas na ONU
https://www.correiobraziliense.com.br/app/noticia/mundo/2014/11/24/interna_mundo,458894/trafico-de-criancas-aumenta-no-mundo-segundo-relatorio-2014-da-onu.shtml~Tráfico de crianças aumenta no mundo, segundo relatório 2014 da ONU
https://www.correiobraziliense.com.br/app/noticia/brasil/2014/07/28/interna-brasil,439606/cristo-redentor-e-iluminado-em-azul-em-campanha-contra-o-trafico-de-pessoas.shtml~Cristo Redentor é iluminado em azul em campanha contra o tráfico de pessoas
https://www.correiobraziliense.com.br/app/noticia/brasil/2014/07/27/interna-brasil,439345/coracao-do-cristo-redentor-sera-iluminado-contra-o-trafico-de-pessoas.shtml~Coração do Cristo Redentor será iluminado contra o tráfico de pessoas
https://www.correiobraziliense.com.br/app/noticia/mundo/2014/06/20/interna_mundo,433719/estados-unidos-incluem-venezuela-na-lista-negra-do-trafico-de-pessoas.shtml~Estados Unidos incluem Venezuela na lista negra do tráfico de pessoas
https://www.correiobraziliense.com.br/app/noticia/mundo/2014/06/20/interna_mundo,433652/eua-incluem-venezuela-na-lista-negra-de-trafico-de-pessoas.shtml~EUA incluem Venezuela na lista negra de tráfico de pessoas
https://www.correiobraziliense.com.br/app/noticia/brasil/2014/06/18/interna-brasil,433397/machismo-atrapalha-combate-ao-trafico-de-pessoas-diz-secretario-de-justica.shtml~Machismo atrapalha combate ao tráfico de pessoas, diz secretário de Justiça
https://www.correiobraziliense.com.br/app/noticia/brasil/2014/06/05/interna-brasil,431080/campanha-busca-conscientizar-cariocas-e-turistas-sobre-trafico-de-pessoas.shtml~Campanha busca conscientizar cariocas e turistas sobre tráfico de pessoas
https://www.correiobraziliense.com.br/app/noticia/brasil/2014/05/29/interna-brasil,430050/secretario-diz-que-nao-ha-aumento-de-trafico-de-pessoas-por-causa-da-copa.shtml~Secretário diz que não há aumento de tráfico de pessoas por causa da Copa
https://www.correiobraziliense.com.br/app/noticia/brasil/2014/05/29/interna-brasil,430025/cnj-estuda-criacao-de-um-forum-nacional-para-combater-o-trafico-de-pessoas.shtml~CNJ estuda criação de um fórum nacional para combater o tráfico de pessoas 
https://www.correiobraziliense.com.br/app/noticia/politica/2014/05/20/interna_politica,428508/relatorio-final-da-cpi-do-trafico-de-pessoas-propoe-leis-mais-rigorosas.shtml~Relatório final da CPI do Tráfico de Pessoas propõe leis mais rigorosas
https://www.correiobraziliense.com.br/app/noticia/politica/2014/05/13/interna_politica,427427/cpi-do-trafico-de-pessoas-pede-aumento-de-penas-para-traficantes.shtml~CPI do Tráfico de Pessoas pede aumento de penas para traficantes
https://www.correiobraziliense.com.br/app/noticia/brasil/2014/04/12/interna-brasil,422770/pesquisa-mostra-falhas-da-imprensa-na-cobertura-do-trafico-de-pessoas.shtml~Pesquisa mostra falhas da imprensa na cobertura do tráfico de pessoas
https://www.correiobraziliense.com.br/app/noticia/politica/2014/03/13/interna_politica,417310/camara-prorroga-por-mais-30-dias-a-cpi-do-trafico-de-pessoas.shtml~Câmara prorroga por mais 30 dias a CPI do Tráfico de Pessoas 
https://www.correiobraziliense.com.br/app/noticia/mundo/2014/01/04/interna_mundo,406336/equador-prende-14-envolvidos-em-rede-de-trafico-de-pessoas.shtml~Equador prende 14 envolvidos em rede de tráfico de pessoas
https://www.correiobraziliense.com.br/app/noticia/cidades/2013/12/19/interna_cidadesdf,404311/aeroporto-e-rodoviaria-interestadual-recebem-acao-contra-trafico-de-pessoas.shtml~Aeroporto e rodoviária interestadual recebem ação contra tráfico de pessoas
https://www.correiobraziliense.com.br/app/noticia/politica/2013/11/05/interna_politica,397248/relatorio-da-cpi-do-trafico-de-pessoas-propoe-mudanca-nos-tipos-do-crime.shtml~Relatório da CPI do Tráfico de Pessoas propõe mudança nos tipos do crime
https://www.correiobraziliense.com.br/app/noticia/brasil/2013/11/04/interna-brasil,397081/campanha-alerta-sobre-aliciamento-de-brasileiros-para-trafico-de-pessoas.shtml~Campanha alerta sobre aliciamento de brasileiros para tráfico de pessoas
https://www.correiobraziliense.com.br/app/noticia/mundo/2013/10/23/interna_mundo,394909/lucrativo-negocio-do-trafico-de-pessoas-preocupa-a-policia-internacional.shtml~Lucrativo negócio do tráfico de pessoas preocupa a polícia internacional
https://www.correiobraziliense.com.br/app/noticia/brasil/2013/10/21/interna-brasil,394543/rio-ganha-comite-da-campanha-da-onu-contra-o-trafico-de-pessoas.shtml~Rio ganha comitê da campanha da ONU contra o tráfico de pessoas
https://www.correiobraziliense.com.br/app/noticia/brasil/2013/10/19/interna-brasil,394256/um-terco-dos-indiciados-por-trafico-de-pessoas-foi-pego-na-fronteira.shtml~Um terço dos indiciados por tráfico de pessoas foi pego na fronteira
https://www.correiobraziliense.com.br/app/noticia/politica/2013/10/18/interna_politica,394155/cpi-ouvira-empresario-preso-em-belem-sob-acusacao-de-trafico-de-pessoas.shtml~CPI ouvirá empresário preso em Belém sob acusação de tráfico de pessoas
https://www.correiobraziliense.com.br/app/noticia/brasil/2013/10/08/interna-brasil,392327/cpi-quer-mais-explicacoes-do-facebook-sobre-trafico-de-pessoas-pela-rede.shtml~CPI quer mais explicações do Facebook sobre tráfico de pessoas pela rede
https://www.correiobraziliense.com.br/app/noticia/brasil/2013/10/08/interna-brasil,392314/facebook-se-defende-em-cpi-sobre-caso-de-anuncio-de-venda-de-bebe-pela-rede.shtml~Facebook se defende em CPI sobre caso de anúncio de venda de bebê pela rede
https://www.correiobraziliense.com.br/app/noticia/brasil/2013/10/01/interna-brasil,391150/cpi-do-trafico-de-pessoas-cobra-explicacoes-sobre-trabalho-escravo.shtml~CPI do Tráfico de Pessoas cobra explicações sobre trabalho escravo 
https://www.correiobraziliense.com.br/app/noticia/mundo/2013/09/20/interna_mundo,389282/eua-retiram-acusacoes-contra-princesa-saudita-por-trafico-de-pessoas.shtml~EUA retiram acusações contra princesa saudita por tráfico de pessoas
https://www.correiobraziliense.com.br/app/noticia/politica/2013/08/12/interna_politica,382119/eduardo-alves-cria-cpis-para-investigar-ecad-e-exploracao-infantil.shtml~Eduardo Alves cria CPIs para investigar Ecad e exploração infantil
https://www.correiobraziliense.com.br/app/noticia/mundo/2013/07/18/interna_mundo,377862/argentina-e-colombia-assinam-acordo-de-combate-ao-trafico-de-pessoas.shtml~Argentina e Colômbia assinam acordo de combate ao tráfico de pessoas 
https://www.correiobraziliense.com.br/app/noticia/brasil/2013/07/15/interna-brasil,377143/campanha-no-centro-do-rio-alerta-sobre-o-crime-do-trafico-de-pessoas.shtml~Campanha no centro do Rio alerta sobre o crime do tráfico de pessoas
https://www.correiobraziliense.com.br/app/noticia/mundo/2013/07/11/interna_mundo,376624/princesa-saudita-presa-por-trafico-de-pessoas-nos-eua-paga-fianca.shtml~Princesa saudita presa por tráfico de pessoas nos EUA paga fiança 
https://www.correiobraziliense.com.br/app/noticia/mundo/2013/07/11/interna_mundo,376582/princesa-saudita-e-acusada-de-trafico-de-pessoas-nos-eua.shtml~Princesa saudita é acusada de tráfico de pessoas nos EUA 
https://www.correiobraziliense.com.br/app/noticia/politica/2013/07/04/interna_politica,375220/cpi-do-trafico-de-pessoas-vai-propor-atualizacao-das-leis-ate-o-fim-do-ano.shtml~CPI do Tráfico de Pessoas vai propor atualização das leis até o fim do ano
https://www.correiobraziliense.com.br/app/noticia/brasil/2013/07/01/interna-brasil,374368/governo-do-rio-de-janeiro-inicia-campanha-de-combate-ao-trafico-humano.shtml~Governo do Rio de Janeiro inicia campanha de combate ao tráfico humano
https://www.correiobraziliense.com.br/app/noticia/mundo/2013/06/20/interna_mundo,372479/russia-e-china-manifestam-apos-relatorio-americano-sobre-trafico-de-pessoas.shtml~Rússia e China manifestam após relatório americano sobre tráfico de pessoas
https://www.correiobraziliense.com.br/app/noticia/mundo/2013/06/20/interna_mundo,372394/russia-mostra-indignacao-com-relatorio-americano-sobre-trafico-de-pessoas.shtml~Rússia mostra indignação com relatório americano sobre tráfico de pessoas 
https://www.correiobraziliense.com.br/app/noticia/brasil/2013/06/05/interna-brasil,369713/cpi-pede-informacoes-sobre-presenca-de-vice-consul-dos-eua-no-parana.shtml~CPI pede informações sobre presença de vice-cônsul dos EUA no Paraná
https://www.correiobraziliense.com.br/app/noticia/politica/2013/06/04/interna_politica,369643/cnj-vai-apurar-se-judiciario-facilita-trafico-de-pessoas.shtml~CNJ vai apurar se Judiciário facilita tráfico de pessoas
https://www.correiobraziliense.com.br/app/noticia/politica/2013/06/04/interna_politica,369593/cpi-quer-ouvir-mulher-suspeita-de-se-envolver-em-trafico-de-orgaos-humanos.shtml~CPI quer ouvir mulher suspeita de se envolver em tráfico de órgãos humanos
https://www.correiobraziliense.com.br/app/noticia/brasil/2013/05/30/interna-brasil,368860/paises-da-cplp-vao-criar-rede-para-combater-trafico-de-pessoas-e-de-orgaos.shtml~Países da CPLP vão criar rede para combater tráfico de pessoas e de órgãos
